4000, 65000, 50000
3520, 65000, 50000
3041, 65000, 49999
2562, 65000, 49994
2082, 65000, 49983
1603, 65000, 49960
1125, 65000, 49920
650, 65000, 49858
179, 65000, 49768
-284, 65000, 49645
-736, 65000, 49486
-1174, 65000, 49290
-1593, 65000, 49057
-1992, 65000, 48791
-2369, 65000, 48496
-2725, 65000, 48175
-3061, 65000, 47833
-3378, 65000, 47472
-3676, 65000, 47097
-3958, 65000, 46709
-4224, 65000, 46311
-4477, 65000, 45903
-4716, 65000, 45487
-4942, 65000, 45065
-5158, 65000, 44636
-5363, 65000, 44203
-5558, 65000, 43765
-5746, 65000, 43324
-5926, 65000, 42880
-6101, 65000, 42433
-6272, 65000, 41985
-6439, 65000, 41536
-6605, 65000, 41086
-6769, 65000, 40635
-6933, 65000, 40184
-7097, 65000, 39734
-7261, 65000, 39283
-7425, 65000, 38833
-7588, 65000, 38382
-7752, 65000, 37931
-7916, 65000, 37481
-8080, 65000, 37030
-8244, 65000, 36579
-8408, 65000, 36129
-8572, 65000, 35678
-8735, 65000, 35228
-8899, 65000, 34777
-9063, 65000, 34326
-9227, 65000, 33876
-9391, 65000, 33425
-9555, 65000, 32974
-9719, 65000, 32524
-9883, 65000, 32073
-10046, 65000, 31622
-10210, 65000, 31172
-10374, 65000, 30721
-10538, 65000, 30271
-10702, 65000, 29820
-10866, 65000, 29369
-11030, 65000, 28919
-11193, 65000, 28468
-11357, 65000, 28017
-11521, 65000, 27567
-11685, 65000, 27116
-11849, 65000, 26665
-12013, 65000, 26215
-12177, 65000, 25764
-12341, 65000, 25314
-12504, 65000, 24863
-12668, 65000, 24412
-12832, 65000, 23962
-12996, 65000, 23511
-13160, 65000, 23060
-13324, 65000, 22610
-13488, 65000, 22159
-13651, 65000, 21709
-13815, 65000, 21258
-13979, 65000, 20807
-14143, 65000, 20357
-14307, 65000, 19906
-14471, 65000, 19455
-14635, 65000, 19005
-14799, 65000, 18554
-14964, 65000, 18104
-15130, 65000, 17654
-15299, 65000, 17205
-15470, 65000, 16757
-15644, 65000, 16311
-15823, 65000, 15866
-16007, 65000, 15423
-16196, 65000, 14983
-16393, 65000, 14545
-16598, 65000, 14112
-16811, 65000, 13682
-17033, 65000, 13257
-17264, 65000, 12837
-17506, 65000, 12423
-17758, 65000, 12015
-18020, 65000, 11614
-18294, 65000, 11220
-18579, 65000, 10834
-18874, 65000, 10457
-19181, 65000, 10088
-19498, 65000, 9728
-19826, 65000, 9379
-20164, 65000, 9039
-20513, 65000, 8710
-20872, 65000, 8392
-21242, 65000, 8086
-21621, 65000, 7793
-22009, 65000, 7512
-22407, 65000, 7244
-22814, 65000, 6991
-23230, 65000, 6753
-23655, 65000, 6529
-24087, 65000, 6322
-24527, 65000, 6131
-24973, 65000, 5957
-25426, 65000, 5799
-25885, 65000, 5658
-26348, 65000, 5534
-26815, 65000, 5426
-27285, 65000, 5334
-27758, 65000, 5256
-28233, 65000, 5191
-28710, 65000, 5139
-29188, 65000, 5097
-29666, 65000, 5066
-30145, 65000, 5042
-30624, 65000, 5025
-31104, 65000, 5014
-31583, 65000, 5007
-32063, 65000, 5003
-32542, 65000, 5001
-33022, 65000, 5000
-33501, 65000, 5000
-33981, 65000, 5000
-34460, 65000, 5000
-34940, 65000, 5000
-35419, 65000, 5000
-35899, 65000, 5000
-36378, 65000, 5000
-36858, 65000, 5001
-37337, 65000, 5003
-37817, 64999, 5007
-38296, 64999, 5012
-38776, 64998, 5021
-39255, 64997, 5033
-39734, 64995, 5049
-40213, 64993, 5071
-40692, 64990, 5099
-41170, 64987, 5135
-41648, 64982, 5178
-42124, 64977, 5231
-42599, 64971, 5293
-43073, 64964, 5366
-43545, 64956, 5451
-44015, 64946, 5549
-44481, 64936, 5659
-44944, 64924, 5783
-45403, 64911, 5921
-45858, 64896, 6073
-46307, 64881, 6240
-46750, 64864, 6422
-47187, 64845, 6618
-47617, 64826, 6829
-48040, 64805, 7055
-48454, 64783, 7295
-48860, 64760, 7549
-49257, 64736, 7817
-49644, 64711, 8099
-50022, 64684, 8393
-50388, 64657, 8701
-50744, 64629, 9021
-51089, 64601, 9353
-51423, 64571, 9696
-51744, 64541, 10051
-52053, 64510, 10416
-52349, 64479, 10792
-52633, 64447, 11177
-52903, 64415, 11572
-53159, 64382, 11976
-53401, 64349, 12388
-53629, 64315, 12809
-53843, 64282, 13237
-54041, 64248, 13672
-54224, 64214, 14114
-54391, 64179, 14562
-54542, 64145, 15016
-54677, 64111, 15475
-54795, 64077, 15938
-54897, 64043, 16406
-54981, 64009, 16876
-55047, 63975, 17350
-55096, 63942, 17826
-55127, 63908, 18303
-55139, 63875, 18781
-55134, 63843, 19260
-55109, 63810, 19737
-55066, 63778, 20214
-55004, 63747, 20688
-54924, 63716, 21160
-54824, 63685, 21628
-54706, 63655, 22092
-54570, 63626, 22550
-54414, 63597, 23003
-54241, 63568, 23449
-54049, 63540, 23887
-53839, 63513, 24318
-53611, 63486, 24739
-53365, 63459, 25150
-53102, 63433, 25550
-52823, 63408, 25938
-52526, 63383, 26314
-52214, 63359, 26677
-51885, 63335, 27026
-51542, 63312, 27359
-51183, 63289, 27677
-50810, 63266, 27978
-50424, 63244, 28261
-50025, 63223, 28525
-49613, 63201, 28771
-49191, 63180, 28996
-48757, 63160, 29200
-48314, 63139, 29382
-47863, 63119, 29542
-47404, 63099, 29679
-46938, 63079, 29792
-46468, 63060, 29881
-45993, 63040, 29946
-45516, 63021, 29985
-45037, 63001, 30000
-44558, 62982, 29989
-44080, 62963, 29954
-43605, 62943, 29893
-43133, 62924, 29808
-42667, 62904, 29698
-42207, 62884, 29565
-41754, 62864, 29408
-41310, 62844, 29229
-40875, 62823, 29028
-40451, 62802, 28806
-40037, 62781, 28564
-39636, 62759, 28302
-39248, 62737, 28022
-38873, 62715, 27724
-38512, 62692, 27409
-38166, 62669, 27078
-37836, 62645, 26731
-37521, 62621, 26371
-37222, 62596, 25997
-36939, 62571, 25610
-36674, 62545, 25212
-36426, 62518, 24802
-36195, 62492, 24383
-35982, 62464, 23954
-35788, 62436, 23517
-35611, 62408, 23072
-35453, 62379, 22620
-35313, 62349, 22162
-35192, 62319, 21699
-35090, 62289, 21232
-35007, 62258, 20761
-34942, 62227, 20287
-34896, 62195, 19810
-34869, 62162, 19333
-34860, 62130, 18855
-34870, 62097, 18376
-34898, 62064, 17899
-34944, 62030, 17423
-35008, 61996, 16949
-35089, 61962, 16477
-35188, 61928, 16009
-35304, 61894, 15545
-35436, 61860, 15086
-35585, 61826, 14631
-35750, 61792, 14182
-35930, 61758, 13740
-36126, 61724, 13303
-36337, 61690, 12874
-36563, 61656, 12452
-36803, 61623, 12039
-37057, 61590, 11633
-37325, 61558, 11237
-37606, 61526, 10850
-37901, 61495, 10473
-38208, 61464, 10106
-38527, 61433, 9750
-38859, 61404, 9405
-39202, 61375, 9071
-39556, 61347, 8749
-39922, 61320, 8440
-40297, 61293, 8143
-40683, 61268, 7859
-41078, 61244, 7589
-41483, 61220, 7333
-41896, 61198, 7091
